name;program_id;CIP;CIP_desc;College;Department;Program;Award;year
Gerold Mann;281;131202;Elementary Education;College of Education;Education;Inst for Teacher Ed;Bachelor's Degrees;2001
Lu Blanda; 48;520901;Hospitality Admin/Mgmt, Ge;Career & Tech Ed;Business Education;Hospitality & Tourism;Associate Degrees;2001
Darline Legros;125;430203;Fire & Environtl Emerg Resp;Career & Tech Ed;Public Services;Fire Science;Certs of Achievement;2001
Ebert Powlowski PhD;195;451101;Sociology;College of Arts & Sciences;Social Sciences;Sociology;Bachelor's Degrees;2001
Ms. Britny Walker DDS;338;480506;Sheet Metal & Plastics;Career & Tech Ed;Technology;Sheet Metal & Plastics Tech;Associate Degrees;2001
Woody Lynch; 89; 11299;Soil Sciences, Other;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Tropical Plant & Soil Sci;Master's Degrees;2001
Dr. Antonio Rath I;  6; 30103;Environmental Studies;College of Arts & Sciences;Social Sciences;Environmental Studies;Bachelor's Degrees;2001
Dr. Harriett Schoen DDS; 30;520301;Accounting;Career & Tech Ed;Business Education;Accounting;Associate Degrees;2001
Chloe Schoen;363;110901;Computer Sys Netwrk & Telecom;Career & Tech Ed;Technology;Comp Elec & Net Tech;Other;2001
Mr. Archer Deckow;200;240101;Liberal Arts;College of Arts & Sciences;Other Arts & Sciences;Interdisciplinary Studies;Bachelor's Degrees;2001
Tresa Yundt;113;240101;Liberal Arts;General & Pre-Prof Ed;Liberal Arts;Liberal Arts;Associate Degrees;2001
Jahir Pfannerstill; 27;110701;Computer Science;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Master's Degrees;2001
Dr. Rene Ritchie;302;160102;Linguistics;College of Arts & Sciences;Lang, Ling & Lit;Linguistics;Doctoral Degrees;2001
Ansley Upton-Cummings;452;521001;Human Resource Management;College of Business Admin;Business Administration;Mgt & Industrial Rel;Master's Degrees;2001
Terell Block; 41;520301;Accounting;Career & Tech Ed;Business Education;Accounting;Certs of Achievement;2001
Dola Kertzmann; 87;260905;Biomed Sci (Reproductive Biol);School of Medicine;School of Medicine;Developmental & Reprod Biology;Master's Degrees;2001
Hali Ernser;105;261302;Marine Biology & Bio Ocean;College of Arts & Sciences;Natural Sciences;Biology Program;Bachelor's Degrees;2001
Barbie Miller;398;159999;Engineering Technology;Career & Tech Ed;Technology;Engineering Tech;Bachelor's Degrees;2001
Bernadine Grant DVM;254;160103;Interpretation & Translation;Career & Tech Ed;Public Services;Interpreting;Associate Degrees;2001
Ayaan Oberbrunner III;166;450101;Social Sciences;Social Sciences Division;Social Science;Sociology;Bachelor's Degrees;2001
Monty Rosenbaum;110;450601;Economics;College of Arts & Sciences;Social Sciences;Economics;Master's Degrees;2001
Nikhil Franecki;127;500901;Music, General;College of Arts & Sciences;Arts & Humanities;Music;Bachelor's Degrees;2001
Stanton Mosciski;137; 11299;Soil Sciences, Other;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Tropical Plant & Soil Sci;Doctoral Degrees;2001
Goebel Glover;378;130101;Education, General;College of Arts & Sciences;Social Sciences;Education;Master's Degrees;2001
Dr. Baxter McCullough;334;510201;Communication Disorders, Gen;School of Medicine;School of Medicine;Communication Sci & Disorders;Bachelor's Degrees;2001
Dr. Daisy Johnson;429;261201;Biotechnology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Molecular Biosci & Bioeng;Bachelor's Degrees;2001
Buddie Blanda-Wisozk;280; 90101;Speech Communicatn & Rhetoric;College of Arts & Sciences;Arts & Humanities;Communicology;Bachelor's Degrees;2001
Love Upton; 74;301801;Natural Science;College of Arts & Sciences;Natural Sciences;Natural Science;Bachelor's Degrees;2001
Dr. Worley Luettgen;416;430203;Fire & Environtl Emerg Resp;Career & Tech Ed;Public Services;Fire & Envir Emergency Resp;Associate Degrees;2001
Dr. Toshio Haag; 26;131210;Early Childhood Education;College of Education;Education;Inst for Teacher Ed;Bachelor's Degrees;2001
Ivonne Pagac;356;220202;Programs for Foreign Lawyers;School of Law;School of Law;Law;Master's Degrees;2001
Dr. Esau Gleason;480;303301;Sustainability Studies;Career & Tech Ed;Technology;Sustainable Science Management;Bachelor's Degrees;2001
Arsenio Cole;186;240103;Humanities;Humanities Division;Humanities;Hawaiian/Pacific Studies;Bachelor's Degrees;2001
Heidy Crona;351;520799;Entrep & Small Business, Other;Career & Tech Ed;Business Education;Applied Business & Infor Tech;Bachelor's Degrees;2001
Taryn Hermiston;369;422709;Clinical Psychopharmacology;College of Pharmacy;Pharmacy;Clinical Psychopharmacology;Master's Degrees;2001
Einar Barton DVM;286;540101;History;College of Arts & Sciences;Social Sciences;History;Bachelor's Degrees;2001
Kellee Bogisich;380;510808;Vet/Animal Hlth Tech &Vet Asst;Career & Tech Ed;Health Services;Veterinary Technology;Associate Degrees;2001
Jerold Senger;226;450101;Social Sciences;Social Sciences Division;Social Science;Psychology;Bachelor's Degrees;2001
Nicholas Barrows;234;450601;Economics;College of Arts & Sciences;Social Sciences;Economics;Doctoral Degrees;2001
Stetson Maggio-Macejkovic;422;260406;Cell/Cellular & Molecular Biol;School of Medicine;School of Medicine;Biomed Sci(Cell & Molecular Bio);Doctoral Degrees;2001
Dr. Savannah Yost; 61;131205;Secondary Education;College of Education;Education;Inst for Teacher Ed;Other;2001
Memphis Carroll-Labadie;315;440401;Public Administration;Professional Studies Division;Public Administration;Health Care Administration;Bachelor's Degrees;2001
Drusilla Keeling;226;450101;Social Sciences;Social Sciences Division;Social Science;Psychology;Bachelor's Degrees;2001
Dollie Schneider;383;110802;Data Modeling/Warehousing;Career & Tech Ed;Business Education;Information Tech;Certs of Achievement;2001
Izabelle Stamm;297;400601;Geology;College of Arts & Sciences;Natural Sciences;Geology;Bachelor's Degrees;2001
Brenna Kertzmann;176;430107;Administration of Justice;Career & Tech Ed;Public Services;Administration of Justice;Certs of Achievement;2001
Ms. Estrella Nolan DDS; 78;110103;Information Technology;Career & Tech Ed;Business Education;Information Tech;Associate Degrees;2001
Dr. Royce Muller; 85;160302;Japanese;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Master's Degrees;2001
Alphonsus Lubowitz;487;460415;Construction Technology;Career & Tech Ed;Technology;Construction Technology;Certs of Achievement;2001
Kyle Kerluke DDS;239;470101;Electrical Install/Maint Tech;Career & Tech Ed;Technology;Electrical Install/Maint Tech;Associate Degrees;2001
Merri Walter;142;261201;Biotechnology;Career & Tech Ed;Health Services;Biotechnician;Certs of Achievement;2001
Mohamed Wiza;434;110901;Computer Sys Netwrk & Telecom;Career & Tech Ed;Technology;Comp Elec & Net Tech;Certs of Achievement;2001
Artelia Veum-Denesik;469;261302;Marine Biology & Bio Ocean;College of Arts & Sciences;Natural Sciences;Biology Program;Master's Degrees;2001
Alfie Nolan Jr.;397;130101;Education, General;Education;Education;Education;Bachelor's Degrees;2001
Miss Mira Bergnaum DVM;400;260702;Entomology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Plant & Env Protect Sci;Master's Degrees;2001
Hakim Mayer;241;513801;Registered Nursing/Reg Nurse;College of Arts & Sciences;School of Nursing;Nursing;Bachelor's Degrees;2001
Elissa Rippin;  6; 30103;Environmental Studies;College of Arts & Sciences;Social Sciences;Environmental Studies;Bachelor's Degrees;2001
Eveline Flatley-Feest; 57;520904;Hotel Operations;Career & Tech Ed;Business Education;Hospitality & Tourism;Associate Degrees;2001
Cassie Effertz;291;430203;Fire & Environtl Emerg Resp;Career & Tech Ed;Public Services;Fire & Envir Emergency Resp;Certs of Achievement;2001
Marcia Becker;403;240103;Humanities;Humanities Division;Humanities;Philosophy;Bachelor's Degrees;2001
Wilber Klein;141;260301;Botany;College of Arts & Sciences;Natural Sciences;Botany Program;Bachelor's Degrees;2001
Jeanmarie Mills-Becker;233;450701;Geography;College of Arts & Sciences;Social Sciences;Geography;Master's Degrees;2001
Mrs. Katelyn Friesen;238;131401;Eng for Speakers of other Lang;College of Arts & Sciences;Lang, Ling & Lit;Second Lang Studies;Doctoral Degrees;2001
Gustavo Watsica;268;141001;Electrical Engineering;College of Engineering;Engineering;Electrical Engineering;Master's Degrees;2001
Emely Lowe;419;260406;Cell/Cellular & Molecular Biol;School of Medicine;School of Medicine;Biomed Sci(Cell&Molecular Bio);Doctoral Degrees;2001
Shanna Runolfsson MD;128;520903;Travel Industry Management;School of Travel Industry Mgt;Travel Industry Management;Travel Industry Management;Master's Degrees;2001
Dr. Henderson Hermann;114;520101;General Business;Career & Tech Ed;Business Education;Business Careers;Associate Degrees;2001
Landon Jacobi;227;512201;Pub Health Sci & Epidemiology;School of Medicine;School of Medicine;Public Health;Doctoral Degrees;2001
Latoyia Pacocha;201;110701;Computer Science;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Bachelor's Degrees;2001
Mr. Gilberto Fritsch;442;130401;Educational Administration;College of Education;Education;Ed Foundations;Other;2001
Treyton Ortiz IV;445;151303;Arch Engineering & CAD Tech;Career & Tech Ed;Technology;Architectural Eng & CAD Tech;Certs of Achievement;2001
Brittani Trantow;387;120500;Food Service;Career & Tech Ed;Food Services;Food Service;Certs of Achievement;2001
Pete Altenwerth;297;400601;Geology;College of Arts & Sciences;Natural Sciences;Geology;Bachelor's Degrees;2001
Russell Mraz;168;400404;Meteorology;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Meteorology;Doctoral Degrees;2001
Deshaun Gerlach-Raynor;104;380101;Philosophy;College of Arts & Sciences;Arts & Humanities;Philosophy;Bachelor's Degrees;2001
Aleah Kuhlman;241;513801;Registered Nursing/Reg Nurse;College of Arts & Sciences;School of Nursing;Nursing;Bachelor's Degrees;2001
Bobby Schamberger;229;450701;Geography;College of Arts & Sciences;Social Sciences;Geography;Bachelor's Degrees;2001
Coen Marvin-O'Hara;458;470617;High Perfrm&Cstm EngTech/Mech;Career & Tech Ed;Technology;Automotive Tech;Associate Degrees;2001
Ms. Angeles Mertz DVM;430;150303;Electronic Technology;Career & Tech Ed;Technology;Electronics Technology;Certs of Achievement;2001
Mya Grimes;172;520401;Adm Asst/Secretarial Science;Career & Tech Ed;Business Education;Business Tech;Certs of Achievement;2001
Libby Lubowitz;469;261302;Marine Biology & Bio Ocean;College of Arts & Sciences;Natural Sciences;Biology Program;Master's Degrees;2001
Mr. Corbin Haag PhD;362;510904;Emergency Medical Services Mgt;Career & Tech Ed;Health Services;Mobile Intens Care Technician;Associate Degrees;2001
Carissa Purdy; 58;500901;Music, General;College of Arts & Sciences;Arts & Humanities;Music;Master's Degrees;2001
Sibyl Wilkinson;376;141001;Electrical Engineering;College of Engineering;Engineering;Electrical Engineering;Bachelor's Degrees;2001
Carin Boehm;215;410101;Biology Technician;Career & Tech Ed;Technology;Agripharmatech;Certs of Achievement;2001
Ms. Joette Feest;429;261201;Biotechnology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Molecular Biosci & Bioeng;Bachelor's Degrees;2001
Glen Baumbach I;468;460000;Construction Trades, General;Career & Tech Ed;Technology;Applied Trades;Associate Degrees;2001
Mr. Davon Kovacek;152;420101;Psychology, General;College of Arts & Sciences;Social Sciences;Psychology;Doctoral Degrees;2001
Aline Donnelly;156; 50299;Ethnic & Cult Studies, Oth;College of Arts & Sciences;Social Sciences;Ethnic Studies;Bachelor's Degrees;2001
Twyla Bednar-Pfannerstill;248;450601;Economics;College of Arts & Sciences;Social Sciences;Economics;Bachelor's Degrees;2001
Ms. Tresa Mante DVM;368;380101;Philosophy;College of Arts & Sciences;Arts & Humanities;Philosophy;Doctoral Degrees;2001
Earl Pfeffer DDS;284;131205;Secondary Education;College of Arts & Sciences;Social Sciences;Education;Other;2001
Ann Schamberger; 29;131205;Secondary Education;College of Education;Education;Inst for Teacher Ed;Bachelor's Degrees;2001
Elenor Roob; 40;160199;Ling, Comp & Rel Lang Studies;College of Arts & Sciences;Lang, Ling & Lit;Second Lang Studies;Doctoral Degrees;2001
Autry Pollich;417;520301;Accounting;Col of Business & Economics;Business & Economics;Accounting;Bachelor's Degrees;2001
Catharine Nader; 17;470604;Automotive Mechanics Tech;Career & Tech Ed;Technology;Automotive Tech;Associate Degrees;2001
Jaydan Lang;190; 50127;Japanese Studies;College of Arts & Sciences;Arts & Humanities;Japanese Studies;Bachelor's Degrees;2001
Mr. Willy Schultz III;104;380101;Philosophy;College of Arts & Sciences;Arts & Humanities;Philosophy;Bachelor's Degrees;2001
Trayvon Labadie-Yundt;262;440000;Adult Services;Career & Tech Ed;Public Services;Human Services;Certs of Achievement;2001
Mettie Gorczany; 40;160199;Ling, Comp & Rel Lang Studies;College of Arts & Sciences;Lang, Ling & Lit;Second Lang Studies;Doctoral Degrees;2001
Mrs. Beadie Altenwerth MD;300;190203;Consumer Merchg & Retail Mgmt;Career & Tech Ed;Business Education;Retail Management;Certs of Achievement;2001
Ammie Braun; 23;450101;Social Sciences;Social Sciences Division;Social Science;Political Science;Bachelor's Degrees;2001
Armani Towne; 16;520701;Entrepreneurship;College of Business Admin;Business Administration;Entrepreneurship;Bachelor's Degrees;2001
Lulah Ebert;173;512201;Pub Health Sci & Epidemiology;School of Medicine;School of Medicine;Public Health;Master's Degrees;2001
Sherrill Hamill;406;540101;History;College of Arts & Sciences;Arts & Humanities;History;Doctoral Degrees;2001
Mark Gleason-Sauer;164;220101;Law;School of Law;School of Law;Law;Other;2001
Joseph Sporer;456;510913;Athletic Training;College of Education;Education;Kinesiology & Rehab Sci;Master's Degrees;2001
Marolyn Smith;268;141001;Electrical Engineering;College of Engineering;Engineering;Electrical Engineering;Master's Degrees;2001
Francis Bashirian;180;520201;Business Admin & Mgmt, General;Professional Studies Division;Business Administration;Management;Bachelor's Degrees;2001
Lee Stoltenberg; 11;230101;English, General;College of Arts & Sciences;Arts & Humanities;English;Bachelor's Degrees;2001
Lupe Brekke-Friesen;404;510904;Emergency Medical Services Mgt;Career & Tech Ed;Health Services;Mobile Intens Care Technician;Certs of Achievement;2001
Vergie Johnston;447;240103;Humanities;Humanities Division;Humanities;Creative Media;Bachelor's Degrees;2001
Alba Harber; 72;480508;Welding;Career & Tech Ed;Technology;Mach, Weld & Ind Mech Tech;Associate Degrees;2001
Mallie Torp DDS; 42; 90101;Speech Communicatn & Rhetoric;College of Arts & Sciences;Social Sciences;Communications;Master's Degrees;2001
Gilmer Mertz;119;260305;Plant Pathology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Plant & Env Protect Sci;Master's Degrees;2001
Ouida Turner-Frami;  5;131210;Early Childhood Education;Career & Tech Ed;Public Services;Early Childhood Education;Associate Degrees;2001
Waylon O'Connell Sr.; 36;260406;Cell/Cellular & Molecular Biol;School of Medicine;School of Medicine;Cell & Molecular Biology;Doctoral Degrees;2001
Gustave Bayer I;399;510803;Occupational Therapy Assistant;Career & Tech Ed;Health Services;Occupational Therapy Assistant;Associate Degrees;2001
Margene Herzog DDS;258;120500;Food Service;Career & Tech Ed;Food Services;Food Service - Culinary Arts;Certs of Achievement;2001
Evangelina Morissette DDS; 25;230101;English, General;College of Arts & Sciences;Lang, Ling & Lit;English;Doctoral Degrees;2001
Jamie Padberg-Frami;299;130301;Curriculum & Instruction;College of Education;Education;Curriculum Studies;Master's Degrees;2001
Mr. Domenick Jaskolski MD;491;400401;Atmospheric Sci & Meteorology;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Atmospheric Sciences;Doctoral Degrees;2001
Ida Schmidt III;449;309999;Interdisciplinary Studies;Professional Studies Division;Applied Science;Culinary Management;Bachelor's Degrees;2001
Corda Cole-Bashirian;375;520201;Business Admin & Mgmt, General;Career & Tech Ed;Business Education;Management;Certs of Achievement;2001
Joselyn Smitham;361; 50102;American Studies;College of Arts & Sciences;Arts & Humanities;American Studies;Doctoral Degrees;2001
Dr. Odalys Torphy;267;440401;Public Administration;Professional Studies Division;Public Administration;Disaster Prep & Emgncy Mgmt;Bachelor's Degrees;2001
Ms. Marianne Weimann DVM;474;512201;Pub Health Sci & Epidemiology;School of Medicine;School of Social Work;Public Health;Master's Degrees;2001
Dr. Lessie Olson DVM;444;510707;Health Info/Med Records Tech;Career & Tech Ed;Business Education;Health Information Technology;Associate Degrees;2001
Gerold Volkman Jr.;202;110101;Computer/Info Science, General;Career & Tech Ed;Business Education;Information & Computer Science;Associate Degrees;2001
Mrs. Sade Jacobs DDS; 25;230101;English, General;College of Arts & Sciences;Lang, Ling & Lit;English;Doctoral Degrees;2001
Tyson Gutmann;456;510913;Athletic Training;College of Education;Education;Kinesiology & Rehab Sci;Master's Degrees;2001
Mireya Koelpin; 25;230101;English, General;College of Arts & Sciences;Lang, Ling & Lit;English;Doctoral Degrees;2001
Dora Hodkiewicz; 53;520201;Business Admin & Mgmt, General;College of Business Admin;Business Administration;Business Administration;Master's Degrees;2001
Katlin Carroll;454;510801;Medical/Clinical Assistant;Career & Tech Ed;Health Services;Nursing;Certs of Achievement;2001
Ms. Lucretia Swaniawski DDS;171;400501;Chemistry, General;College of Arts & Sciences;Natural Sciences;Chemistry;Bachelor's Degrees;2001
Jocelyn Wehner;238;131401;Eng for Speakers of other Lang;College of Arts & Sciences;Lang, Ling & Lit;Second Lang Studies;Doctoral Degrees;2001
Agusta Treutel;456;510913;Athletic Training;College of Education;Education;Kinesiology & Rehab Sci;Master's Degrees;2001
Ms. Shelba Beatty PhD;368;380101;Philosophy;College of Arts & Sciences;Arts & Humanities;Philosophy;Doctoral Degrees;2001
Brett Homenick;376;141001;Electrical Engineering;College of Engineering;Engineering;Electrical Engineering;Bachelor's Degrees;2001
Colton Homenick;268;141001;Electrical Engineering;College of Engineering;Engineering;Electrical Engineering;Master's Degrees;2001
Shani Schamberger;245; 90101;Speech Communicatn & Rhetoric;College of Arts & Sciences;Arts & Humanities;Speech;Master's Degrees;2001
Elida Gleason;477;400401;Atmospheric Sci & Meteorology;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Atmospheric Sciences;Bachelor's Degrees;2001
Julissa Lehner;465; 10606;Plant Nursery Ops & Mgmt;Career & Tech Ed;Technology;Agriculture;Certs of Achievement;2001
Ivan Murray; 33;120500;Food Service;Career & Tech Ed;Food Services;Culinary Arts;Certs of Achievement;2001
Kennth Murray;273;450101;Social Sciences;Social Sciences Division;Social Science;Anthropology;Bachelor's Degrees;2001
Syble Strosin-Marvin;191;260503;Medical Micro & Bacteriology;School of Medicine;School of Medicine;Biomed Sci (Tropical Medicine);Doctoral Degrees;2001
Zoe Hodkiewicz;180;520201;Business Admin & Mgmt, General;Professional Studies Division;Business Administration;Management;Bachelor's Degrees;2001
Alf Feeney-Stanton;336;161404;Filipino/Tagalog Lang and Lit;College of Arts & Sciences;Lang, Ling & Lit;Indo Pac Lang & Lit;Bachelor's Degrees;2001
Millie Schuster;426;260905;Biomed Sci (Reproductive Biol);School of Medicine;School of Medicine;Developmental & Reprod Biology;Doctoral Degrees;2001
Leyla Hauck;192;510602;Dental Hygiene;Schl of Nurs & Dental Hygiene;Nursing & Dental Hygiene;Dental Hygiene;Bachelor's Degrees;2001
Enrique Homenick-Rippin; 54;250101;Library Studies;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Master's Degrees;2001
Gisele Simonis;239;470101;Electrical Install/Maint Tech;Career & Tech Ed;Technology;Electrical Install/Maint Tech;Associate Degrees;2001
Stonewall Effertz;123;150303;Electronic Technology;Career & Tech Ed;Technology;Electronics Technology;Associate Degrees;2001
Ms. Cynthia Hane MD;445;151303;Arch Engineering & CAD Tech;Career & Tech Ed;Technology;Architectural Eng & CAD Tech;Certs of Achievement;2001
Miss Penelope Kreiger MD;343;510204;Speech Pathology & Audiology;School of Medicine;School of Medicine;Speech Pathology & Audiology;Master's Degrees;2001
Kendell Wiegand;330; 40401;EnvironmentalDesign/Arch;School of Architecture;School of Architecture;Environmental Design;Bachelor's Degrees;2001
Dr. Frazier Ward DVM;399;510803;Occupational Therapy Assistant;Career & Tech Ed;Health Services;Occupational Therapy Assistant;Associate Degrees;2001
Elta Von DVM;360;490102;Aviation;Career & Tech Ed;Technology;Commercial Aviation;Associate Degrees;2001
Tatia Koss;280; 90101;Speech Communicatn & Rhetoric;College of Arts & Sciences;Arts & Humanities;Communicology;Bachelor's Degrees;2001
Jalissa Dickinson;102;160302;Japanese;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Doctoral Degrees;2001
Bolden Weissnat;256;460201;Carpentry;Career & Tech Ed;Technology;Carpentry Technology;Certs of Achievement;2001
Concha Kub MD;445;151303;Arch Engineering & CAD Tech;Career & Tech Ed;Technology;Architectural Eng & CAD Tech;Certs of Achievement;2001
Westin O'Hara;310;470201;Refrigeration & Air Cond;Career & Tech Ed;Technology;Refrigeration & Air Cond Tech;Associate Degrees;2001
Sunny Hyatt;171;400501;Chemistry, General;College of Arts & Sciences;Natural Sciences;Chemistry;Bachelor's Degrees;2001
Mr. Garnet Witting III;312;470604;Automotive Mechanics Tech;Career & Tech Ed;Technology;Automotive Tech;Certs of Achievement;2001
Kale Douglas; 34; 99999;Communication & Information Sc;College of Arts & Sciences;Other Arts & Sciences;Communication & Info Science;Doctoral Degrees;2001
Beda Medhurst;451;470617;High Perfrm&Cstm EngTech/Mech;Career & Tech Ed;Technology;Automotive Tech;Certs of Achievement;2001
Mr. Halley Legros Sr.;118;380201;Religion;College of Arts & Sciences;Arts & Humanities;Religion;Bachelor's Degrees;2001
Dr. Donnie Green DVM;  7;100202;Television Production;Career & Tech Ed;Technology;Television Production;Certs of Achievement;2001
Salma D'Amore-Baumbach; 79;500701;Art;College of Arts & Sciences;Arts & Humanities;Art;Bachelor's Degrees;2001
Dr. Marshal Feeney PhD; 96;160901;French;College of Arts & Sciences;Lang, Ling & Lit;Lang & Lit of Europe & Amer;Master's Degrees;2001
Kelvin Jerde;383;110802;Data Modeling/Warehousing;Career & Tech Ed;Business Education;Information Tech;Certs of Achievement;2001
Dr. Jeri Abshire; 73;220302;Paralegal;Career & Tech Ed;Public Services;Paralegal;Associate Degrees;2001
Kelton Leuschke I; 38;160303;Korean;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Master's Degrees;2001
Mrs. Antonette Hyatt;372;520903;Travel Industry Management;School of Travel Industry Mgt;Travel Industry Management;Travel Industry Management;Bachelor's Degrees;2001
Isadora O'Keefe;292;513801;Registered Nursing/Reg Nurse;Schl of Nurs & Dental Hygiene;Nursing & Dental Hygiene;Professional Nursing;Doctoral Degrees;2001
Elliott McGlynn;291;430203;Fire & Environtl Emerg Resp;Career & Tech Ed;Public Services;Fire & Envir Emergency Resp;Certs of Achievement;2001
Angelic Bauch-Swift;203;100202;Television Production;Career & Tech Ed;Technology;Television Production;Associate Degrees;2001
Eugenia Bernhard;418;460412;Bldg/Construction SiteMgmt/Mgr;Career & Tech Ed;Technology;Construction Management;Associate Degrees;2001
Lia Berge;223; 10301;Agriculture;Career & Tech Ed;Technology;Agriculture;Associate Degrees;2001
Claire Zemlak;387;120500;Food Service;Career & Tech Ed;Food Services;Food Service;Certs of Achievement;2001
Mr. Dirk Boyer I; 25;230101;English, General;College of Arts & Sciences;Lang, Ling & Lit;English;Doctoral Degrees;2001
Moesha Brakus-Schowalter; 78;110103;Information Technology;Career & Tech Ed;Business Education;Information Tech;Associate Degrees;2001
Azul Windler-Ratke;369;422709;Clinical Psychopharmacology;College of Pharmacy;Pharmacy;Clinical Psychopharmacology;Master's Degrees;2001
Dr. Lincoln Lynch;350; 10901;Animal Science;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Hum Nutr, Food & Animal Sci;Bachelor's Degrees;2001
Toshiko Miller;228;511005;Medical Technology;School of Medicine;School of Medicine;Medical Technology;Bachelor's Degrees;2001
Mr. Moses Rohan II;266; 50109;Pacific Islands Studies;Schl of Pacific & Asian Studies;Pacific & Asian Studies;Pacific Studies;Master's Degrees;2001
Amelie Walker; 42; 90101;Speech Communicatn & Rhetoric;College of Arts & Sciences;Social Sciences;Communications;Master's Degrees;2001
Jeffie Frami DVM;252;512001;Pharmacy;College of Pharmacy;Pharmacy;Pharmacy;Other;2001
Mr. Gaige Waters;410;521101;International Management;College of Business Admin;Business Administration;International Management;Doctoral Degrees;2001
Abbie Zulauf;109;500703;Art Hist, Criticism & Conserv;College of Arts & Sciences;Arts & Humanities;Art;Master's Degrees;2001
Coen Orn;460;400401;Atmospheric Sci & Meteorology;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Atmospheric Sciences;Master's Degrees;2001
Mr. Mckinley Dibbert IV;405;440701;Social Work;School of Social Work;School of Social Work;Social Welfare;Doctoral Degrees;2001
Icy Berge;287;422803;Counseling Psychology;College of Arts & Sciences;Social Sciences;Psychology;Master's Degrees;2001
Mrs. Tatyanna Schaden;156; 50299;Ethnic & Cult Studies, Oth;College of Arts & Sciences;Social Sciences;Ethnic Studies;Bachelor's Degrees;2001
Wylie Erdman; 21;400601;Geology;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Geology;Bachelor's Degrees;2001
Ms. Elnora Stanton PhD; 84;480508;Welding;Career & Tech Ed;Technology;Welding Technology;Certs of Achievement;2001
Rigoberto Denesik II;194;131401;Eng for Speakers of other Lang;College of Arts & Sciences;Lang, Ling & Lit;Second Lang Studies;Bachelor's Degrees;2001
Admiral Jacobson;484;520201;Business Admin & Mgmt, General;Career & Tech Ed;Business Education;Business;Certs of Achievement;2001
Mr. Marsh DuBuque; 74;301801;Natural Science;College of Arts & Sciences;Natural Sciences;Natural Science;Bachelor's Degrees;2001
Alpheus Ullrich;394;230101;English, General;College of Arts & Sciences;Lang, Ling & Lit;English;Bachelor's Degrees;2001
Coleen Koss MD;140;260502;Microbiology;College of Arts & Sciences;Natural Sciences;Microbiology;Bachelor's Degrees;2001
Miss Kayleen Gutmann; 90;500301;Dance;College of Arts & Sciences;Arts & Humanities;Theater & Dance;Master's Degrees;2001
Woodie Ondricka Sr.;314;510908;Respiratory Care;Career & Tech Ed;Health Services;Respiratory Care;Associate Degrees;2001
Samuel Ankunding;  3;500501;Drama & Theatre;College of Arts & Sciences;Arts & Humanities;Theater & Dance;Bachelor's Degrees;2001
Barnard Dach;492;520201;Business Admin & Mgmt, General;Professional Studies Division;Business Administration;Business Administration;Bachelor's Degrees;2001
Miss Zona Armstrong DDS;422;260406;Cell/Cellular & Molecular Biol;School of Medicine;School of Medicine;Biomed Sci(Cell & Molecular Bio);Doctoral Degrees;2001
Watt Legros;383;110802;Data Modeling/Warehousing;Career & Tech Ed;Business Education;Information Tech;Certs of Achievement;2001
Mrs. Herma Prosacco DDS;246; 50207;Women's Studies;College of Arts & Sciences;Social Sciences;Women's Studies;Bachelor's Degrees;2001
Mr. Santiago Orn;282;130401;Educational Administration;College of Education;Education;Educational Administration;Master's Degrees;2001
Desiree Kessler;411;500501;Drama & Theatre;College of Arts & Sciences;Arts & Humanities;Theater & Dance;Master's Degrees;2001
Lanette Adams-Hegmann;164;220101;Law;School of Law;School of Law;Law;Other;2001
Miesha Hagenes;372;520903;Travel Industry Management;School of Travel Industry Mgt;Travel Industry Management;Travel Industry Management;Bachelor's Degrees;2001
Dr. Savion Rath; 18; 30104;Global Environmental Science;College of Arts & Sciences;Natural Sciences;Trop Conserv Bio & Environ Sci;Master's Degrees;2001
Mr. Quinten DuBuque;  7;100202;Television Production;Career & Tech Ed;Technology;Television Production;Certs of Achievement;2001
Marrion Herman-Hamill;196;240101;Liberal Arts;College of Arts & Sciences;Interdisciplinary Majors;Liberal Studies;Bachelor's Degrees;2001
Royce Tromp; 74;301801;Natural Science;College of Arts & Sciences;Natural Sciences;Natural Science;Bachelor's Degrees;2001
Yandel Cassin;193; 50202;American Indian/Native Studies;General & Pre-Prof Ed;Hawaiian Studies;;Associate Degrees;2001
